0	0	0	20	1	1	1	0	1	0	5
0	0	0	29	1	1	1	1	1	0	2
0	0	0	32	1	1	1	1	1	0	4
1	0	0	23	1	1	1	1	1	0	3
1	0	0	23	1	1	1	1	1	0	1
0	0	0	25	1	1	1	1	1	0	2
2	0	3	36	1	2	1	1	2	0	0
0	0	0	24	1	1	1	1	1	0	2
5	1	0	41	1	1	1	1	1	0	2
0	0	0	20	1	1	1	1	1	0	3
0	0	5	20	1	1	1	1	2	0	2
8	0	14	20	1	1	1	1	2	0	1
0	0	0	21	0	1	1	0	1	0	4
0	0	0	27	1	1	1	1	1	0	3
0	0	0	19	1	1	1	1	1	0	1
8	2	33	55	1	1	1	1	11	0	2
0	0	0	38	1	1	1	1	1	0	2
0	0	2	24	1	1	1	1	1	0	5
1	0	0	34	1	1	1	1	1	0	3
0	0	0	27	1	1	1	1	1	0	2
0	0	0	25	1	1	1	1	1	0	2
0	0	1	31	1	1	1	1	1	0	0
0	0	0	19	1	1	1	1	1	0	4
0	0	4	44	1	1	1	1	1	0	4
1	0	0	32	1	1	1	1	1	0	3
3	0	0	21	1	1	1	1	1	0	3
0	0	3	18	1	1	1	1	1	0	3
0	0	0	21	1	1	1	1	1	0	0
0	0	7	84	1	2	1	1	2	0	2
1	0	1	29	1	1	1	1	1	0	2
0	0	0	23	1	1	1	1	1	0	0
23	8	17	44	1	2	1	1	2	0	2
1	0	0	22	1	1	1	1	1	0	4
1	0	0	14	1	1	1	1	1	0	0
2	0	0	23	1	2	1	1	2	0	3
0	0	2	26	1	1	1	1	1	0	4
0	0	0	33	1	1	1	1	1	0	1
0	0	0	22	1	1	1	1	1	0	0
0	0	0	14	1	1	1	1	1	0	0
0	0	0	37	1	1	1	1	1	0	3
0	0	1	26	1	1	1	1	1	0	4
0	0	1	99	1	1	1	1	4	0	1
2	3	0	28	1	1	1	1	1	0	1
0	0	0	39	1	1	1	0	1	0	5
0	0	0	31	1	1	1	1	1	0	1
0	0	0	40	1	1	1	1	1	0	3
0	0	0	23	1	1	1	1	1	0	2
1	0	5	74	1	1	1	1	33	0	0
5	4	48	28	1	1	1	1	1	0	2
2	0	0	22	1	1	1	1	1	0	1
1	0	0	40	1	1	1	1	1	0	4
0	0	0	24	1	1	1	1	1	0	1
0	0	0	46	1	1	1	1	1	0	4
0	0	2	30	1	1	1	1	2	0	0
2	0	0	22	1	1	1	1	1	0	2
0	0	0	23	1	1	0	0	1	0	5
2	0	7	47	1	1	1	1	1	0	1
0	0	0	26	1	1	1	1	1	0	1
0	0	0	58	1	1	1	1	1	0	0
2	0	0	21	1	1	1	1	1	0	5
0	0	0	43	1	1	1	1	1	0	2
0	0	7	64	1	1	1	1	1	0	3
1	0	5	28	1	1	1	1	1	0	1
0	0	2	44	1	1	1	1	1	0	4
0	0	0	43	1	1	1	1	1	0	1
0	0	10	27	1	1	1	1	1	0	3
